"Formatted ID","Name","Work Product","Type","Priority","Owner","Method","Results","Last Build","Last Run","Application","Defect Status","Additional Detail","Display Color","Created By","Creation Date","Defects","Description","Discussion","Group/Project","Last Update Date","Modified Desc","Modified Name Text","New/Modified/Obs","Notes","Objective","Planned Feature","PRD Trace","Project","Ready","Risk","Risk CM","Status","Steps","Tags","TC Maj Release","TC PI","Test Folder","Test Sets","Use Case Trace"
"TC941","The system shall support authorizing external organizations or locations with an access level","US1659: External Authorization","Acceptance","","Kelly Keefe","Automated","54","6924","09/14/2018","Sapphire and PSC","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","True","#848689","Anoof Ali","10/05/2015","0","Details:Following access levels are supported: Card Download Rx Update Patient Transfer Full Access","0","","10/02/2020","","","","","","F5819","US44174","SRS","False","","True","Test Written","0","","R1.33","PI 11","TF90: External Authorizations","0",""
"TC1325","The system shall provide the ability to assign a role when creating users for an organization","US11119: Unplanned: (R1.5) Create a new user role 'Physician'.","Acceptance","","Carlos Jauquicoa Martinena","Automated","234","6924","09/14/2018","Sapphire and PSC","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","True","#848689","Anoof Ali","02/18/2016","0","Following roles are available for assignment:   Admin  Clinician  Physician  Clinician Assistant  Patient Viewer  Patient Rules Administrator  Mask Selector Clinical Administrator  Mask Selector Clinician   Multiple roles can be assigned to a user. Mask Selector Clinical Administrator and Mask Selector Clinician roles shall be available to organizations with Mask Selector Integration add-on feature enabled.","0","","10/29/2020","Following roles are available for assignment:   Admin  Clinical User  Physician  Clinical Assistant  Patient Viewer  Patient Rules Administrator  Mask Selector Clinical Administrator  Mask Selector Clinician   Multiple roles can be assigned to a user. Mask Selector Clinical Administrator and Mask Selector Clinician roles shall be available to organizations with Mask Selector Integration add-on feature enabled.","System shall provide the ability to create users in an organization with the following roles: Admin, Clinical User, Physician, Clinical Assistant, Patient Viewer, and Patient Rules Administrator","Modified","","","Clarify","US1549","SRS","False","","True","Test Written","0","","R1.33","PI 11","TF11: Add User","0",""
"TC1699","The system shall support generating performance check reports for all supported DreamStation device families","US8741: [Continued] Support Dreamstation ASV device in CO","Acceptance","","Veena N","Manual","0","","","Sapphire","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","False","#848689","Dave W","03/23/2016","0","","0","","10/02/2020","","","","","","F4543","US3019","SRS","False","","False","Test Written","0","","R1.33","PI 8","TF145: DreamStation Device Family Performance Checks","0",""
"TC1713","When the Performance Check report is viewed from the patient equipment page, the most recent Performance Check report shall be generated","US3019: Display device health","Acceptance","","Veena N","Manual","0","","","Sapphire","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","False","#848689","Dave W","03/23/2016","0","","0","","10/02/2020","","","","","","F4543","US3019","SRS","False","","False","Test Written","0","","R1.33","PI 6","TF145: DreamStation Device Family Performance Checks","0",""
"TC2068","Only the priority, start of compliance period, the repeating option, create tasks option, auto dismiss not compliant option, and the number of days of the repeating option of the system Compliance Rule shall be able to be edited","US9988: As a company admin, I want to be able to configure the Medicare rule so that I can change the number of days to specify the task recurrence to reevaluate compliance.  (pending tasks to be completed)","Acceptance","","smalagari001","Automated","0","","","Sapphire and PSC","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","True","#848689","Susan F","07/01/2016","0","Defaults 4 hours per day 70 Percent 30 Consecutive Days Between 1 and 90 First Therapy Date Add a Task is checked Priority is Medium Repeat Compliance is not checked Remove not compliant task is not checked","0","","10/22/2020","","","","","","F2343","US2419","SRS","False","","False","Test Written","0","","R1.33","PI 10","TF98: Compliance rule - Configuration","0",""
"TC4226","The About page shall contain the correct elements","US36546: [R.128] Update About page to include EC IMP icon","Acceptance","","Frank Fulcomer","Manual","0","","","Sapphire","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","True","#848689","Susan F","03/29/2018","0","The About page shall contain the following:- Philips logo- Software application name- Current software version or build number- Company address (Respironics Inc. 1001 Murry Ridge Lane Murrysville, PA 15668 USA)- Manufacturing symbol- Manufacturing date- European representative address (Respironics Deutschland GmbH & Co. KG, Gewerbestrasse 17, 82211 Herrsching, Germany)- EC-REP symbol- CE mark- Australian Sponsor Details:  Philips Electronics Australia Ltd., 65 Epping Road, North Ryde, NSW 2113 Australia- UDI number- Reorder number (1126366)- REF image- Copyright statement- Current year- Symbol for """"Caution, Consult Accompanying Documents""""- Symbol for """"Refer to Instructions for Use""""- MD symbol- US manufacturer symbol- EC-IMP symbol- Brazil (ANVISA) informationDistribuidor: Philips Medical Systems Ltda.Av. Marcos Penteado de Ulhoa Rodrigues, 401 SetorParte 39 - TamboréBarueri/SP, Brasil – CEP 06460-040Responsavel Técnico: Thiago Medeiros de AbreuCREA/SP: 5070149021Registro Anvisa: 10216710385","0","","10/13/2020","","","","","","n/a","US6138","SRS","False","","True","Not Started","0","","R1.33","PI 19.04","TF127: Labeling / Privacy Notice / Tracing","0",""
"TC2974","The system shall have the ability to display the master list of agreements along with the name, details, created/updated by user name, and date of each agreement","US21415: [Agreement] Physician access agreement is avaialable in the system list of agreements.","Acceptance","","Kelly Keefe","Automated","0","","","PSC","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","True","#848689","Anoof Ali","01/18/2017","0","List of Agreements: Care Orchestrator Agreement, Business Associate Agreement, External Payer Integrator Agreement, DreamMapper Agreement, and Physician Access Notification Agreement, (Spanish) Care Orchestrator Agreement, (Brazilian Portuguese) Care Orchestrator Agreement","0","","10/02/2020","","","","Note: Mobile application agreements are not expected to be listed.","","F5890","US4013","SRS","False","","False","Test Written","0","","R1.33","PI 10","TF119: Business Agreements","0",""
"TC12574","The Patient Equipment Subscription shall contain the correct data fields if they are present","US38736: Add setting fields to EMR Sleep Data subscription","Acceptance","","james.landy","Manual","0","","","Billing Service","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","True","#848689","james.landy","09/01/2020","0","The Fields are external services, patient id, equipment assignment action, action data, equipment data source, equipment id, equipment type, serial number","0","","09/30/2020","","","","","","F5850","US43751","SRS","False","","False","Not Started","0","","R1.33","N/A","TF277: Billing Services Access","0",""
"TC12575","The Patient Accessories Subscription shall contain the correct data fields if they are present","US38736: Add setting fields to EMR Sleep Data subscription","Acceptance","","james.landy","Manual","0","","","Billing Service","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","True","#848689","james.landy","09/01/2020","0","The Fields are external services, accessory Assignment action, patient id, accessory type, assignment date, accessory detail, accessory model","0","","09/30/2020","","","","","","F5851","US43751","SRS","False","","False","Not Started","0","","R1.33","N/A","TF277: Billing Services Access","0",""
"TC12576","The Patient Task Notes Subscription shall contain the correct data fields if they are present","US38736: Add setting fields to EMR Sleep Data subscription","Acceptance","","james.landy","Manual","0","","","Billing Service","0 New, 0 Open, 0 Fixed, 0 Duplicate, 0 Closed, 0 Explained, 0 Need Info, 0 Defer, 0 Submitted, 0 Cannot Reproduce, 0 Retest, 0 Blocked","True","#848689","james.landy","09/01/2020","0","The Fields are patient id, task id, noteUUID, created date, comments, communication method, response type, predefined Notes, system generated, and external services","0","","09/30/2020","","","","","","F5990","US43751","SRS","False","","False","Not Started","0","","R1.33","N/A","TF277: Billing Services Access","0",""
