'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'tests.reports.businessReport.PatientReportExportTests.usageRecentDaysDelayed', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'Carlos', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\Carlos\\20200924T195016Z-PatientReportExportTests-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4154 tests.reports.businessReport.PatientReportExportTests.usageComplianceRuleDelayedReport', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'Carlos', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\Carlos\\20200924T195016Z-PatientReportExportTests-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2254 TC4154 tests.reports.businessReport.PatientReportExportTests.usageDelayedReport', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'Carlos', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\Carlos\\20200924T195016Z-PatientReportExportTests-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'Unknown massPatientSyncPerformanceTest', 'Test Status': 'Inconclusive', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'Subhash', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\Subhash\\testResults_20200925162234.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'Unknown massPatientSyncPerformanceTest', 'Test Status': 'Inconclusive', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'Subhash', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\Subhash\\testResults_20200925162234.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC12231 tests.reports.businessReport.PatientAdherenceBusinessReport.adherenceDataSourceFilterDirect', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4876 TC4883 tests.auth.external.F3068_PhysicianStaffAccessToExternalPatient.scenario24_assignedPhysicianToExternalPatientFromAuthorizedExternalOrg_Deactivated', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'tests.task.accessRequest.AdministrativeTasks.dismissAnAdministrativeTask', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'tests.reports.businessReport.PatientReportExportTests.japaneseCharactersDelayed', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2254 TC4153 tests.reports.businessReport.PatientReportExportTests.complianceDelayedReport', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2744 TC2785 tests.task.general.F1132_Reassign_Tasks.otherUsersCanViewReassignedTaskInAllTasks', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
